video_path,video_id,label,scenario,split,family
Collide/mp4s-redyellow/pilot_it2_collision_assorted_targets_box_1_dis_1_occ-redyellow_0000_img.mp4,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0000_img,0,collide,pilot_test,pilot_it2_collision_assorted_targets_box_1_dis_1_occ
Collide/mp4s-redyellow/pilot_it2_collision_assorted_targets_box_1_dis_1_occ-redyellow_0001_img.mp4,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0001_img,1,collide,pilot_test,pilot_it2_collision_assorted_targets_box_1_dis_1_occ
Collide/mp4s-redyellow/pilot_it2_collision_assorted_targets_box_1_dis_1_occ-redyellow_0002_img.mp4,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0002_img,0,collide,pilot_test,pilot_it2_collision_assorted_targets_box_1_dis_1_occ
Collide/mp4s-redyellow/pilot_it2_collision_assorted_targets_box_1_dis_1_occ-redyellow_0004_img.mp4,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0004_img,0,collide,pilot_test,pilot_it2_collision_assorted_targets_box_1_dis_1_occ
Collide/mp4s-redyellow/pilot_it2_collision_assorted_targets_box_1_dis_1_occ-redyellow_0006_img.mp4,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0006_img,0,collide,pilot_test,pilot_it2_collision_assorted_targets_box_1_dis_1_occ
Collide/mp4s-redyellow/pilot_it2_collision_assorted_targets_box_1_dis_1_occ-redyellow_0008_img.mp4,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0008_img,0,collide,pilot_test,pilot_it2_collision_assorted_targets_box_1_dis_1_occ
Collide/mp4s-redyellow/pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ-redyellow_0000_img.mp4,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0000_img,1,collide,pilot_test,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ
Collide/mp4s-redyellow/pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ-redyellow_0002_img.mp4,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0002_img,0,collide,pilot_test,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ
Collide/mp4s-redyellow/pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ-redyellow_0004_img.mp4,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0004_img,0,collide,pilot_test,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ
Collide/mp4s-redyellow/pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ-redyellow_0006_img.mp4,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0006_img,0,collide,pilot_test,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ
Collide/mp4s-redyellow/pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ-redyellow_0007_img.mp4,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0007_img,0,collide,pilot_test,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ
Collide/mp4s-redyellow/pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ-redyellow_0008_img.mp4,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0008_img,1,collide,pilot_test,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ
Collide/mp4s-redyellow/pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ-redyellow_0009_img.mp4,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0009_img,1,collide,pilot_test,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ
Collide/mp4s-redyellow/pilot_it2_collision_non-sphere_tdw_1_dis_1_occ-redyellow_0000_img.mp4,pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0000_img,0,collide,pilot_test,pilot_it2_collision_non-sphere_tdw_1_dis_1_occ
Collide/mp4s-redyellow/pilot_it2_collision_non-sphere_tdw_1_dis_1_occ-redyellow_0002_img.mp4,pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0002_img,1,collide,pilot_test,pilot_it2_collision_non-sphere_tdw_1_dis_1_occ
Collide/mp4s-redyellow/pilot_it2_collision_non-sphere_tdw_1_dis_1_occ-redyellow_0004_img.mp4,pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0004_img,1,collide,pilot_test,pilot_it2_collision_non-sphere_tdw_1_dis_1_occ
Collide/mp4s-redyellow/pilot_it2_collision_non-sphere_tdw_1_dis_1_occ-redyellow_0007_img.mp4,pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0007_img,1,collide,pilot_test,pilot_it2_collision_non-sphere_tdw_1_dis_1_occ
Collide/mp4s-redyellow/pilot_it2_collision_non-sphere_tdw_1_dis_1_occ-redyellow_0008_img.mp4,pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0008_img,0,collide,pilot_test,pilot_it2_collision_non-sphere_tdw_1_dis_1_occ
Collide/mp4s-redyellow/pilot_it2_collision_non-sphere_tdw_1_dis_1_occ-redyellow_0009_img.mp4,pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0009_img,1,collide,pilot_test,pilot_it2_collision_non-sphere_tdw_1_dis_1_occ
Collide/mp4s-redyellow/pilot_it2_collision_simple_box_1_dis_1_occ-redyellow_0001_img.mp4,pilot_it2_collision_simple_box_1_dis_1_occ_0001_img,1,collide,pilot_test,pilot_it2_collision_simple_box_1_dis_1_occ
Collide/mp4s-redyellow/pilot_it2_collision_simple_box_1_dis_1_occ-redyellow_0003_img.mp4,pilot_it2_collision_simple_box_1_dis_1_occ_0003_img,0,collide,pilot_test,pilot_it2_collision_simple_box_1_dis_1_occ
Collide/mp4s-redyellow/pilot_it2_collision_simple_box_1_dis_1_occ-redyellow_0004_img.mp4,pilot_it2_collision_simple_box_1_dis_1_occ_0004_img,0,collide,pilot_test,pilot_it2_collision_simple_box_1_dis_1_occ
Collide/mp4s-redyellow/pilot_it2_collision_simple_box_1_dis_1_occ-redyellow_0005_img.mp4,pilot_it2_collision_simple_box_1_dis_1_occ_0005_img,1,collide,pilot_test,pilot_it2_collision_simple_box_1_dis_1_occ
Collide/mp4s-redyellow/pilot_it2_collision_simple_box_1_dis_1_occ-redyellow_0006_img.mp4,pilot_it2_collision_simple_box_1_dis_1_occ_0006_img,1,collide,pilot_test,pilot_it2_collision_simple_box_1_dis_1_occ
Collide/mp4s-redyellow/pilot_it2_collision_simple_box_2_dis_2_occ-redyellow_0002_img.mp4,pilot_it2_collision_simple_box_2_dis_2_occ_0002_img,1,collide,pilot_test,pilot_it2_collision_simple_box_2_dis_2_occ
Collide/mp4s-redyellow/pilot_it2_collision_simple_box_2_dis_2_occ-redyellow_0004_img.mp4,pilot_it2_collision_simple_box_2_dis_2_occ_0004_img,0,collide,pilot_test,pilot_it2_collision_simple_box_2_dis_2_occ
Collide/mp4s-redyellow/pilot_it2_collision_simple_box_2_dis_2_occ-redyellow_0005_img.mp4,pilot_it2_collision_simple_box_2_dis_2_occ_0005_img,1,collide,pilot_test,pilot_it2_collision_simple_box_2_dis_2_occ
